time,open,high,low,close,fast_stoch,slow_stoch,rsi,30_sent,thirty_trend,4h_sent,four_trend,candle_dir,dt_signal,sent_signal,simple_result,running_result,profit
2020-06-01 22:00:00,134.47899999999998,134.485,134.368,134.438,81.98553583169077,82.34150145082259,68.24770891348871,0.03240054637670253,bullish,0.154812049585682,bullish,short,short,short_trade,win,win,0.17
2020-06-02 01:00:00,134.624,134.672,134.528,134.588,71.49831649831664,65.18733095656158,68.24087296758897,0.010569052330732577,bullish,0.16222492546396078,bullish,short,short,short_trade,sig_stop,no_runner,-0.043000000000006366
2020-06-02 02:00:00,134.631,134.632,134.38,134.391,58.27160493827012,67.474747474746,55.95997386071657,0.0027961500567927344,bullish,0.16222492546396078,bullish,short,short,short_trade,sig_stop,no_runner,-0.06900000000001683
2020-06-02 03:30:00,134.518,134.54399999999998,134.458,134.496,49.87654320987696,47.88065843621292,59.31662869124351,-0.008106599232442334,bullish,0.16222492546396078,bullish,short,short,short_trade,running_short,win,0.07
2020-06-02 07:00:00,135.05,135.184,134.994,135.02100000000002,81.72503219401591,81.75676190295242,72.57581671160202,0.006222607252613366,bullish,0.18789445618949385,bullish,short,short,short_trade,win,win,0.17
2020-06-02 13:30:00,136.12,136.262,135.986,136.11,92.38376209422216,89.73699800234249,78.12586681814864,0.06585767810163806,bullish,0.2528297262873029,bullish,short,short,short_trade,loss,no_runner,-0.17199999999999704
2020-06-02 14:30:00,136.418,136.524,136.18,136.332,92.29546374745487,93.30674440358723,77.89232092062352,0.08368154398035166,bullish,0.2528297262873029,bullish,short,short,short_trade,win,win,0.17
2020-06-02 16:30:00,136.35,136.45600000000002,136.235,136.286,79.63737796373783,77.09885925337402,69.97841680986186,0.06939916771585303,bullish,0.2528297262873029,bullish,short,short,short_trade,running_short,loss,-0.19000000000002615
2020-06-02 18:00:00,136.457,136.5,136.29399999999998,136.30200000000002,86.68281722138205,85.68181308588079,66.28855033333929,0.0561036561750487,bullish,0.27558428287460435,bullish,short,short,short_trade,sig_stop,no_runner,-0.04199999999997317
2020-06-02 19:00:00,136.344,136.37,136.262,136.326,81.89660217936107,85.64277172074155,66.3565063330864,0.042932311056338435,bullish,0.27558428287460435,bullish,short,short,short_trade,loss,no_runner,-0.06400000000002137
2020-06-02 20:30:00,136.414,136.442,136.351,136.404,78.72098919941895,79.16490831262637,67.62226625133475,0.02619227135883795,bullish,0.27558428287460435,bullish,short,short,short_trade,running_short,sig_stop,0.056000000000011596
2020-06-03 00:00:00,136.921,136.921,136.757,136.89600000000002,96.51324965132423,85.34245669020827,74.60747454116955,0.009610222735442098,bullish,0.3012677671869277,bullish,short,short,short_trade,loss,no_runner,-0.044999999999987494
2020-06-03 01:00:00,136.90200000000002,137.009,136.62,136.69,74.97538029323651,86.95774852850944,64.66037621664498,0.006894189715389186,bullish,0.3058900646375704,bullish,short,short,short_trade,win,win,0.17
2020-06-03 03:30:00,136.702,136.76,136.648,136.659,43.60535931790577,32.8902969039356,59.63907165239008,-0.027016897581591648,bullish,0.3058900646375704,bullish,short,short,short_trade,win,win,0.17
2020-06-03 07:30:00,136.97,136.98,136.75799999999998,136.876,81.79806458126161,72.24023036578825,62.39335622230561,-0.029415873640328605,bullish,0.30913552751092266,bullish,short,short,short_trade,win,win,0.17
2020-06-04 01:00:00,136.57399999999998,136.68,136.518,136.614,23.858327387215123,34.83706911251135,38.23903048928507,-0.060419181027914125,bearish,0.24672059202997665,bearish,long,long,long_trade,win,loss,0.07
2020-06-04 02:00:00,136.57,136.637,136.52,136.59799999999998,26.175349428208108,25.064169273077674,38.3876970730843,-0.069857152726923,bearish,0.24672059202997665,bearish,long,long,long_trade,loss,no_runner,-0.09799999999998477
2020-06-04 03:00:00,136.488,136.566,136.488,136.536,19.77172919592513,22.312059267184534,37.52618458438719,-0.07663302074433681,bearish,0.24672059202997665,bearish,long,long,long_trade,win,win,0.17
2020-06-04 08:00:00,136.4,136.636,136.363,136.52700000000002,24.864547124043497,30.752170473267146,42.37231774987022,-0.05620049275850447,bearish,0.21893962358677,bearish,long,long,long_trade,sig_stop,no_runner,-0.01500000000001478
2020-06-04 13:00:00,136.33,136.626,136.256,136.378,36.84874006841414,45.362559198593644,43.36238327379317,-0.03982622536760279,bearish,0.1838192508529344,bearish,long,long,long_trade,win,win,0.17
2020-06-04 22:30:00,137.561,137.602,137.5,137.525,50.30135272491853,54.20515061125735,59.3027087388845,0.042585295529532524,bullish,0.16973166956176094,bullish,short,short,short_trade,loss,no_runner,-0.09700000000000841
2020-06-04 23:30:00,137.688,137.72799999999998,137.59,137.59,62.98595325523198,59.144342962840575,59.50658457346749,0.03994491890327684,bullish,0.16973166956176094,bullish,short,short,short_trade,win,win,0.17
2020-06-05 13:30:00,139.222,139.29,138.963,139.001,86.37034185929045,82.86454914677468,69.56472168951585,0.0606042085575515,bullish,0.19984504359158373,bullish,short,short,short_trade,loss,no_runner,-0.3089999999999975
2020-06-05 15:00:00,139.657,139.672,139.25799999999998,139.536,93.70568484190235,90.48265824255013,73.18959758564489,0.09974681231947023,bullish,0.19984504359158373,bullish,short,short,short_trade,win,win,0.17
2020-06-07 21:30:00,139.042,139.047,138.933,139.035,18.322312766014978,13.545310074952136,59.275271418717296,-0.015024479408099369,bullish,0.199862278287976,bullish,short,short,short_trade,loss,no_runner,-0.03200000000001069
2020-06-07 22:30:00,139.247,139.296,139.13299999999998,139.142,47.82222593411385,34.307297087022036,60.3559443350336,-0.012806497639840651,bullish,0.199862278287976,bullish,short,short,short_trade,loss,no_runner,-0.1740000000000066
2020-06-08 00:00:00,139.43,139.434,139.15200000000002,139.286,79.23436533828118,76.00964732567809,61.03374271127734,-0.003890340397314396,bullish,0.199862278287976,bullish,short,short,short_trade,win,win,0.17
2020-06-08 05:00:00,139.114,139.124,138.976,138.984,22.289156626506472,29.02275883116797,49.16349752797288,-0.04617453335095362,bullish,0.18523691416298904,bullish,short,short,short_trade,loss,no_runner,-0.1599999999999966
2020-06-08 06:00:00,139.185,139.192,138.96200000000002,139.012,21.736947791165328,23.62784471218211,49.8022107695271,-0.04761258215815672,bullish,0.18523691416298904,bullish,short,short,short_trade,win,win,0.17
2020-06-08 09:00:00,139.072,139.084,138.906,138.924,54.108527131785,44.884752957278,47.585587648549435,-0.05875948908859091,bullish,0.15322595458966792,bullish,short,short,short_trade,win,win,0.17
2020-06-08 13:00:00,138.393,138.491,138.338,138.416,27.743257179663768,29.86197260315547,38.851656778635395,-0.0974331626630697,bearish,0.09860236316214843,bearish,long,long,long_trade,loss,no_runner,-0.09800000000001319
2020-06-08 15:00:00,137.86,138.004,137.694,137.86700000000002,17.521889365241478,16.86764324077591,27.870671345523792,-0.11965189645332525,bearish,0.09860236316214843,bearish,long,long,long_trade,loss,no_runner,-0.19300000000004047
2020-06-08 17:00:00,137.485,137.672,137.485,137.67,10.302311888593186,10.00924481830967,30.37507366081235,-0.1346973618671206,bearish,0.06478147979290383,bearish,long,long,long_trade,win,win,0.17
2020-06-08 21:30:00,137.921,137.995,137.91299999999998,137.944,73.43649836868516,62.810987444426075,43.66038292349391,-0.049303432400215584,bearish,0.02446779198757154,bearish,long,long,long_trade,loss,no_runner,-0.051000000000016144
2020-06-09 05:00:00,137.13299999999998,137.343,137.13299999999998,137.28,9.660390909558332,13.046848726324015,35.48371911464046,-0.04584205618842438,bearish,-0.08104958531525241,bearish,long,long,long_trade,win,win,0.17
2020-06-09 09:30:00,136.382,136.509,136.30100000000002,136.416,10.765892025237424,11.190822318812122,23.526432410804762,-0.08755552454866589,bearish,-0.12157121144741125,bearish,long,long,long_trade,win,win,0.17
2020-06-09 13:00:00,136.63299999999998,136.803,136.57299999999998,136.754,49.06157180093342,54.06071305893977,42.136683594056365,-0.023996465254432886,bearish,-0.136431313750486,bearish,long,long,long_trade,win,win,0.17
2020-06-09 17:00:00,137.274,137.309,137.21,137.247,93.16975279053385,90.96911855055023,54.52231214955482,0.053826785522533116,bullish,-0.15186594016410915,bullish,short,short,short_trade,running_short,sig_stop,-0.018999999999977035
2020-06-09 19:00:00,137.266,137.319,137.231,137.26,90.39429640954916,89.48711744327602,54.66222609559377,0.06508977905479002,bullish,-0.15186594016410915,bullish,short,short,short_trade,win,win,0.17
2020-06-09 23:00:00,137.22799999999998,137.233,137.003,137.076,37.994060323831405,41.745247853461926,47.4244098900306,0.0488679516488629,bullish,-0.16463008067685234,bullish,short,short,short_trade,win,win,0.17
2020-06-10 02:30:00,137.141,137.168,137.063,137.142,62.2989486926009,61.1132576551726,50.39896766003065,0.0382624040562467,bearish,-0.17662746044236702,bearish,long,long,long_trade,sig_stop,no_runner,-0.009000000000014552
2020-06-10 03:30:00,137.13299999999998,137.202,137.09,137.188,69.40476190475819,64.47599365021894,52.93621017595581,0.03657584336385247,bearish,-0.17662746044236702,bearish,long,long,long_trade,loss,no_runner,-0.117999999999995
2020-06-10 05:00:00,137.043,137.252,137.026,137.216,50.7713633398544,52.955533811694096,54.368560698432944,0.030795035144442182,bearish,-0.18728743708087456,bearish,long,long,long_trade,win,win,0.17
2020-06-10 07:00:00,136.981,137.259,136.93,137.13,31.25665513569363,44.19365571631113,50.118570479667596,0.024173903472543067,bearish,-0.18728743708087456,bearish,long,long,long_trade,loss,no_runner,-0.21999999999999886
2020-06-10 08:00:00,137.016,137.1,136.887,137.04399999999998,38.316648095394896,32.367027067127836,46.579239622071896,0.018355109205872317,bearish,-0.18728743708087456,bearish,long,long,long_trade,sig_stop,no_runner,-0.06399999999999295
2020-06-10 09:30:00,136.86,136.966,136.808,136.918,17.896616661568014,24.46167635756873,42.37457493161557,0.005871347378268568,bearish,-0.18728019774966093,bearish,long,long,long_trade,loss,no_runner,-0.13000000000002387
