time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,VWMA,VWAP,VWMA 20,VWMA 50,VWMA 200,SMA 20,SMA 50,SMA 200,S/R,SR,%K,%D,RSI
1542765600,144.335,144.485,144.298,144.416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,22.467720841754176,18.10440596960298,37.18849603021206
1542780000,144.416,144.728,144.352,144.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,27.12519319938133,22.2486847783607,36.69455587302749
1542794400,144.38,144.894,144.306,144.421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,148.048,29.34054611025164,26.311153383794686,37.709296378440605
1542808800,144.421,144.82,144.311,144.506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,144.75,32.5392113712115,29.668316893613795,39.861513982634314
1542823200,144.506,144.61,144.424,144.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,144.75,37.737660869506726,33.20580611698893,39.361822556681254
1542837600,144.477,144.612,144.34,144.414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,144.75,42.02930923914006,37.4353938266184,38.24032854802297
1542852000,144.414,144.535,144.388,144.528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,144.75,47.50165121977134,42.422873776138346,41.489017521714246
1542866400,144.528,144.674,144.268,144.458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,144.75,49.29157345264654,46.27417797051828,40.09437011210709
1542880800,144.458,145.956,144.45,145.406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,144.75,58.65895453474124,51.817393069052,59.801887421571365
1542895200,145.406,145.548,145.175,145.434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,144.75,64.25936873341006,57.403298906931575,60.21816542432434
1542909600,145.434,145.588,145.378,145.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,144.75,72.74611398963744,65.22147908592855,60.470078313426875
1542924000,145.45,145.531,145.426,145.483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,144.75,74.04198993923664,70.34915755409368,61.01836073269442
1542938400,145.483,145.504,145.229,145.269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,144.75,70.90254459639881,72.56354950842326,55.629827150123006
1542952800,145.269,145.382,144.843,144.987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.005,144.75,60.5066790331218,68.48373785625141,49.43455099357663
1542967200,144.987,145.023,144.47,144.637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.987,144.75,42.663336050150654,58.024186559889415,43.02949631868053
1542981600,144.637,144.823,144.357,144.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.898,144.75,26.658767772511908,43.27626095192712,41.26907196880465
1542996000,144.53,144.807,144.464,144.766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.898,144.75,22.29462875197468,30.53891085821141,46.470877774485864
1543183200,144.766,144.992,144.656,144.934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.898,144.75,28.159557661927266,25.704318062136945,49.87440166573106
1543197600,144.934,145.174,144.914,145.129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.898,144.75,39.988151658767585,30.147446024222166,53.56497924221707
1543212000,145.129,145.514,145.067,145.334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.898,144.75,51.20458135860992,39.784096893100575,57.13781466762572
1543226400,145.334,145.677,145.308,145.659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.898,144.75,65.52132701421813,52.23802001053087,62.11464577992608
1543240800,145.659,145.744,145.426,145.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.898,144.75,72.55481308914456,63.09357382065653,58.746813177535664
1543255200,145.51,145.636,145.428,145.498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.898,144.75,78.92555312497677,72.33389774277883,58.471844680296456
1543269600,145.498,145.592,145.256,145.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.898,144.75,73.87964329424186,75.12000316945341,53.773611127353384
