time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,VWMA,VWAP,VWMA 20,VWMA 50,VWMA 200,SMA 20,SMA 50,SMA 200,S/R,SR,%K,%D,RSI
1595017800,134.443,134.542,134.434,134.517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,89.42855899377894,83.65336350843751,54.72262278367442
1595192400,134.517,134.612,134.43,134.576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,90.55282375440652,88.31211256771377,58.05829714573026
1595194200,134.576,134.576,134.492,134.519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,87.19678675225566,89.05938983347976,53.92496960466069
1595196000,134.519,134.616,134.437,134.606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,88.32549590195303,88.69170213620446,58.75187533008361
1595197800,134.606,134.618,134.498,134.502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,77.09325082057926,84.2051778249287,51.769886224012474
1595199600,134.502,134.571,134.498,134.557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,78.19384088642884,81.2041958696531,54.82725581017197
1595201400,134.557,134.637,134.549,134.637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,79.07801418439693,78.12170196380106,58.90765421772323
1595203200,134.637,134.637,134.508,134.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,85.64674096589009,80.97286534557134,55.08940946026056
1595205000,134.58,134.888,134.58,134.738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,82.87710293698437,82.53395269575651,62.37037309918003
1595206800,134.738,134.783,134.568,134.586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,62.743769603651536,77.08920450217471,53.40102509389433
1595208600,134.586,134.606,134.412,134.458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,41.219960079840284,62.2802775401581,47.240119106566425
1595210400,134.458,134.548,134.441,134.462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,21.492887029288358,41.81887223759277,47.444175659172366
1595212200,134.462,134.514,134.432,134.458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,134.535,134.961,11.514175544693487,24.74234088460675,47.247382870831956
